date,Close,High,Low,Open
2015-01-01,1.2087400000000001,1.2107649999999999,1.20785,1.210285
2015-01-02,1.200225,1.2089150000000002,1.20008,1.208695
2015-01-05,1.19375,1.19764,1.18873,1.1947
2015-01-06,1.187245,1.19689,1.184325,1.193755
2015-01-07,1.18336,1.1896550000000001,1.18021,1.18724
2015-01-08,1.179195,1.18475,1.17542,1.1833550000000002
2015-01-09,1.18419,1.1846100000000002,1.1762350000000001,1.1792
2015-01-12,1.183185,1.187095,1.1786349999999999,1.186985
2015-01-13,1.1776900000000001,1.185985,1.175295,1.1831999999999998
2015-01-14,1.17842,1.18465,1.172755,1.1776900000000001
2015-01-15,1.163615,1.1791,1.15678,1.1784150000000002
2015-01-16,1.15697,1.164895,1.1460050000000002,1.163615
2015-01-19,1.159475,1.1638950000000001,1.1551550000000002,1.156135
2015-01-20,1.1545550000000002,1.161525,1.1540400000000002,1.1594950000000002
2015-01-21,1.16147,1.1680700000000002,1.15415,1.1545649999999998
2015-01-22,1.1347,1.16553,1.13163,1.161475
2015-01-23,1.12026,1.137425,1.111435,1.1347049999999999
2015-01-26,1.12499,1.1295549999999999,1.11383,1.114265
2015-01-27,1.1367800000000001,1.142265,1.122395,1.1249850000000001
2015-01-28,1.1283400000000001,1.13826,1.1272449999999998,1.136805
2015-01-29,1.1333950000000002,1.1367950000000002,1.1261899999999998,1.12833
2015-01-30,1.12882,1.136365,1.127865,1.133375
2015-02-02,1.13388,1.136235,1.1292550000000001,1.130715
2015-02-03,1.14568,1.15339,1.13125,1.133875
2015-02-04,1.13166,1.1484899999999998,1.13041,1.145675
2015-02-05,1.147075,1.14989,1.1316100000000002,1.13168
2015-02-06,1.131525,1.147375,1.1311900000000001,1.147065
2015-02-09,1.132435,1.13594,1.127035,1.1313849999999999
2015-02-10,1.13187,1.13454,1.127285,1.132435
2015-02-11,1.1310850000000001,1.1352350000000002,1.1280000000000001,1.13187
2015-02-12,1.140405,1.1423,1.1303799999999997,1.13109
2015-02-13,1.139255,1.144245,1.137965,1.1404100000000001
2015-02-16,1.13324,1.14291,1.131985,1.139795
2015-02-17,1.1404100000000001,1.1449,1.132205,1.13324
2015-02-18,1.1399849999999998,1.1416050000000002,1.13337,1.1403949999999998
2015-02-19,1.13658,1.14504,1.13554,1.1399849999999998
2015-02-20,1.138025,1.151255,1.127875,1.13658
2015-02-23,1.1333600000000001,1.13936,1.12951,1.138
2015-02-24,1.133955,1.1358100000000002,1.128845,1.1333600000000001
2015-02-25,1.13638,1.1389550000000002,1.13358,1.13395
2015-02-26,1.12024,1.13797,1.11835,1.13638
2015-02-27,1.119345,1.12452,1.11689,1.120255
2015-03-02,1.11765,1.1240549999999998,1.1160799999999997,1.116085
2015-03-03,1.1182699999999999,1.12176,1.11548,1.117645
2015-03-04,1.107925,1.1185649999999998,1.10616,1.118275
2015-03-05,1.1031499999999999,1.11147,1.098765,1.107925
2015-03-06,1.08443,1.1032600000000001,1.0824699999999998,1.10317
2015-03-09,1.08349,1.0906500000000001,1.08297,1.084495
2015-03-10,1.07067,1.083695,1.066745,1.083485
2015-03-11,1.05477,1.071695,1.0511249999999999,1.070665
2015-03-12,1.0626449999999998,1.068425,1.049395,1.054755
2015-03-13,1.049465,1.063485,1.0462449999999999,1.0626449999999998
2015-03-16,1.057185,1.061955,1.0483449999999999,1.04839
2015-03-17,1.0594999999999999,1.0650950000000001,1.055155,1.05718
2015-03-18,1.0848650000000002,1.103665,1.05801,1.0594899999999998
2015-03-19,1.06692,1.09199,1.061305,1.0848650000000002
2015-03-20,1.081915,1.088235,1.06556,1.06692
2015-03-23,1.094455,1.0971449999999998,1.0767600000000002,1.08254
2015-03-24,1.0904500000000001,1.103005,1.089025,1.094445
