date,Close,High,Low,Open
2014-01-01,1.37657,1.3773400000000002,1.3741599999999998,1.3765749999999999
2014-01-02,1.366545,1.3775300000000001,1.362975,1.37643
2014-01-03,1.358825,1.3672,1.3582450000000001,1.3665250000000002
2014-01-06,1.36298,1.365325,1.35716,1.359545
2014-01-07,1.3617400000000002,1.3656350000000002,1.35967,1.3629699999999998
2014-01-08,1.357145,1.363505,1.35535,1.36172
2014-01-09,1.36064,1.363345,1.3548,1.357145
2014-01-10,1.366965,1.3687399999999998,1.35703,1.3606349999999998
2014-01-13,1.366875,1.3685,1.363745,1.36722
2014-01-14,1.366705,1.369945,1.3649049999999998,1.3668650000000002
2014-01-15,1.35994,1.36733,1.3581349999999999,1.366705
2014-01-16,1.361565,1.36497,1.35833,1.3599350000000001
2014-01-17,1.35406,1.362115,1.35172,1.3615599999999999
2014-01-20,1.3545950000000002,1.3568099999999998,1.350765,1.352745
2014-01-21,1.3557450000000002,1.356905,1.351655,1.3545949999999998
2014-01-22,1.3544049999999999,1.3584,1.3534700000000002,1.3557199999999998
2014-01-23,1.368825,1.36985,1.3530350000000002,1.3544200000000002
2014-01-24,1.367855,1.373955,1.36627,1.368825
2014-01-27,1.367425,1.371675,1.36532,1.3687049999999998
2014-01-28,1.365415,1.3688500000000001,1.362895,1.36744
2014-01-29,1.3657599999999999,1.368475,1.360315,1.36542
2014-01-30,1.355745,1.36627,1.3543500000000002,1.3657400000000002
2014-01-31,1.3487,1.357365,1.347925,1.3557350000000001
2014-02-03,1.3522599999999998,1.35358,1.3476949999999999,1.348745
2014-02-04,1.351605,1.353875,1.3493249999999999,1.3522699999999999
2014-02-05,1.35339,1.3555700000000002,1.3498999999999999,1.35161
2014-02-06,1.3591600000000001,1.3619050000000001,1.34824,1.353405
2014-02-07,1.3636050000000002,1.364385,1.3552,1.35921
2014-02-10,1.364525,1.365145,1.36186,1.3618700000000001
2014-02-11,1.363675,1.3683,1.36295,1.364525
2014-02-12,1.3587850000000001,1.36527,1.35623,1.363675
2014-02-13,1.36761,1.36923,1.358565,1.358775
2014-02-14,1.369265,1.371495,1.367385,1.36761
2014-02-17,1.37039,1.372425,1.3692099999999998,1.370455
2014-02-18,1.376045,1.377055,1.3694549999999999,1.370375
2014-02-19,1.37296,1.37731,1.3486449999999999,1.376055
2014-02-20,1.372085,1.376255,1.368585,1.3729399999999998
2014-02-21,1.373995,1.3758750000000002,1.370205,1.3720750000000002
2014-02-24,1.37347,1.37718,1.3708399999999998,1.37374
2014-02-25,1.3745850000000002,1.37671,1.3715600000000001,1.373475
2014-02-26,1.3681,1.3757700000000002,1.3661750000000001,1.37459
2014-02-27,1.3706450000000001,1.372705,1.36431,1.3680949999999998
2014-02-28,1.38014,1.382505,1.3694099999999998,1.370635
2014-03-03,1.3735400000000002,1.37927,1.372645,1.3774250000000001
2014-03-04,1.3742,1.378185,1.37198,1.3735499999999998
2014-03-05,1.37316,1.37496,1.370745,1.3741849999999998
2014-03-06,1.386365,1.3873250000000001,1.37214,1.373145
2014-03-07,1.38741,1.391515,1.3852099999999998,1.386355
2014-03-10,1.387585,1.389805,1.3861750000000002,1.3877599999999999
2014-03-11,1.385645,1.38769,1.38339,1.3876
2014-03-12,1.390235,1.391445,1.38436,1.385625
2014-03-13,1.386505,1.39668,1.384565,1.390255
2014-03-14,1.391305,1.393775,1.384785,1.386555
2014-03-17,1.392535,1.39478,1.38791,1.3909099999999999
2014-03-18,1.39291,1.3942999999999999,1.388005,1.39253
2014-03-19,1.381815,1.39327,1.38098,1.392945
2014-03-20,1.37787,1.3845100000000001,1.37494,1.381825
2014-03-21,1.37933,1.38109,1.3765749999999999,1.377875
2014-03-24,1.383645,1.3876,1.3760400000000002,1.3796650000000001
2014-03-25,1.382015,1.384715,1.3749,1.38364
2014-03-26,1.37858,1.38235,1.377645,1.38198
2014-03-27,1.3740649999999999,1.37969,1.372865,1.378565
2014-03-28,1.375175,1.3773300000000002,1.370475,1.3740450000000002
2014-03-31,1.3774,1.380915,1.372175,1.37533
2014-04-01,1.37935,1.381565,1.3769200000000001,1.3774250000000001
2014-04-02,1.376675,1.38206,1.3753250000000001,1.37935
2014-04-03,1.37229,1.38073,1.369825,1.376665
2014-04-04,1.37026,1.373165,1.36727,1.3722849999999998
2014-04-07,1.374205,1.37487,1.3697300000000001,1.37038
2014-04-08,1.3793,1.38117,1.373745,1.374185
