"Date","Time","Price","Volume"
23/12/2016,09:30:00.000000,225.430000,100
23/12/2016,09:30:00.000000,225.440000,500
23/12/2016,09:30:00.000000,225.440000,300
23/12/2016,09:30:00.000000,225.430000,100
23/12/2016,09:30:00.000000,225.430000,560
23/12/2016,09:30:00.000000,225.430000,100
23/12/2016,09:30:00.000000,225.430000,100
23/12/2016,09:30:00.000000,225.450000,100
23/12/2016,09:30:00.000000,225.450000,100
23/12/2016,09:30:00.000000,225.450000,245
23/12/2016,09:30:00.000000,225.430000,100
23/12/2016,09:30:00.000000,225.430000,100
23/12/2016,09:30:00.000000,225.430000,100
23/12/2016,09:30:00.000000,225.430000,100
23/12/2016,09:30:00.000000,225.440000,100
23/12/2016,09:30:00.000000,225.430000,100
23/12/2016,09:30:00.000000,225.440000,100
23/12/2016,09:30:00.000000,225.430000,1800
23/12/2016,09:30:00.000000,225.430000,900
23/12/2016,09:30:00.000000,225.430000,900
23/12/2016,09:30:00.000000,225.430000,100
23/12/2016,09:30:00.000000,225.450000,100
23/12/2016,09:30:00.000000,225.440000,100
23/12/2016,09:30:00.000000,225.450000,100
23/12/2016,09:30:00.000000,225.440000,100
23/12/2016,09:30:00.000000,225.430000,200
23/12/2016,09:30:00.000000,225.430000,300
23/12/2016,09:30:00.000000,225.430000,200
23/12/2016,09:30:00.000000,225.430000,100
23/12/2016,09:30:00.000000,225.430000,1000
23/12/2016,09:30:00.000000,225.430000,300
23/12/2016,09:30:00.000000,225.430000,200
23/12/2016,09:30:00.000000,225.430000,200
23/12/2016,09:30:00.000000,225.430000,100
23/12/2016,09:30:00.000000,225.430000,500
23/12/2016,09:30:00.000000,225.430000,300
23/12/2016,09:30:00.000000,225.430000,100
23/12/2016,09:30:00.000000,225.430000,200
23/12/2016,09:30:00.000000,225.430000,1000
23/12/2016,09:30:00.000000,225.430000,200
23/12/2016,09:30:00.000000,225.430000,100
23/12/2016,09:30:00.000000,225.430000,918
23/12/2016,09:30:00.000000,225.430000,182
23/12/2016,09:30:00.000000,225.430000,200
23/12/2016,09:30:00.000000,225.430000,300
23/12/2016,09:30:00.000000,225.430000,100
23/12/2016,09:30:00.000000,225.430000,400
23/12/2016,09:30:00.000000,225.430000,300
23/12/2016,09:30:00.000000,225.430000,200
23/12/2016,09:30:00.000000,225.440000,100
23/12/2016,09:30:00.000000,225.440000,178
23/12/2016,09:30:00.000000,225.430000,100
23/12/2016,09:30:00.000000,225.430000,778
23/12/2016,09:30:00.000000,225.430000,1122
23/12/2016,09:30:00.000000,225.440000,4000
23/12/2016,09:30:00.000000,225.440000,1000
23/12/2016,09:30:00.000000,225.440000,1500
23/12/2016,09:30:00.000000,225.440000,100
23/12/2016,09:30:00.000000,225.450000,200
23/12/2016,09:30:00.000000,225.440000,300
23/12/2016,09:30:00.000000,225.440000,223
23/12/2016,09:30:00.000000,225.440000,100
23/12/2016,09:30:00.000000,225.440000,100
23/12/2016,09:30:00.000000,225.440000,258
23/12/2016,09:30:00.000000,225.440000,300
23/12/2016,09:30:00.000000,225.440000,200
23/12/2016,09:30:00.000000,225.430000,500
23/12/2016,09:30:00.000000,225.430000,600
23/12/2016,09:30:00.000000,225.430000,100
23/12/2016,09:30:00.000000,225.440000,239
23/12/2016,09:30:00.000000,225.440000,400
23/12/2016,09:30:00.000000,225.440000,100
23/12/2016,09:30:00.000000,225.440000,100
23/12/2016,09:30:00.000000,225.430000,100
23/12/2016,09:30:00.000000,225.440000,1700
23/12/2016,09:30:00.000000,225.440000,400
23/12/2016,09:30:00.000000,225.440000,200
23/12/2016,09:30:00.000000,225.440000,500
23/12/2016,09:30:00.000000,225.440000,100
23/12/2016,09:30:00.000000,225.440000,100
23/12/2016,09:30:00.000000,225.440000,200
23/12/2016,09:30:00.000000,225.440000,600
23/12/2016,09:30:00.000000,225.440000,100
23/12/2016,09:30:00.000000,225.440000,100
23/12/2016,09:30:00.000000,225.440000,300
23/12/2016,09:30:00.000000,225.440000,1000
23/12/2016,09:30:00.000000,225.440000,200
23/12/2016,09:30:00.000000,225.440000,100
23/12/2016,09:30:00.000000,225.440000,100
23/12/2016,09:30:00.000000,225.450000,800
23/12/2016,09:30:00.000000,225.450000,300
23/12/2016,09:30:00.000000,225.450000,300
23/12/2016,09:30:00.000000,225.450000,200
23/12/2016,09:30:00.000000,225.450000,300
23/12/2016,09:30:00.000000,225.450000,100
23/12/2016,09:30:00.000000,225.450000,400
23/12/2016,09:30:00.000000,225.450000,200
23/12/2016,09:30:00.000000,225.450000,100
23/12/2016,09:30:00.000000,225.450000,200
23/12/2016,09:30:00.000000,225.450000,100
23/12/2016,09:30:00.000000,225.440000,1000
23/12/2016,09:30:00.000000,225.440000,100
23/12/2016,09:30:01.000000,225.450000,100
23/12/2016,09:30:01.000000,225.440000,100
23/12/2016,09:30:01.000000,225.440000,500
23/12/2016,09:30:01.000000,225.440000,300
23/12/2016,09:30:01.000000,225.440000,300
23/12/2016,09:30:01.000000,225.440000,100
23/12/2016,09:30:01.000000,225.450000,200
23/12/2016,09:30:01.000000,225.450000,160
23/12/2016,09:30:01.000000,225.450000,200
23/12/2016,09:30:01.000000,225.440000,200
23/12/2016,09:30:01.000000,225.440000,1000
23/12/2016,09:30:01.000000,225.440000,576
23/12/2016,09:30:01.000000,225.440000,100
23/12/2016,09:30:01.000000,225.450000,300
23/12/2016,09:30:01.000000,225.450000,200
23/12/2016,09:30:01.000000,225.450000,100
23/12/2016,09:30:01.000000,225.450000,100
23/12/2016,09:30:01.000000,225.450000,100
23/12/2016,09:30:01.000000,225.450000,100
23/12/2016,09:30:01.000000,225.450000,100
23/12/2016,09:30:01.000000,225.438500,3000
23/12/2016,09:30:01.000000,225.460000,100
23/12/2016,09:30:01.000000,225.460000,300
23/12/2016,09:30:01.000000,225.460000,300
23/12/2016,09:30:01.000000,225.460000,922
23/12/2016,09:30:01.000000,225.460000,1078
23/12/2016,09:30:01.000000,225.460000,546
23/12/2016,09:30:01.000000,225.450000,100
23/12/2016,09:30:01.000000,225.460000,254
23/12/2016,09:30:01.000000,225.460000,442
23/12/2016,09:30:01.000000,225.460000,500
23/12/2016,09:30:01.000000,225.460000,100
23/12/2016,09:30:01.000000,225.450000,200
23/12/2016,09:30:01.000000,225.450000,200
23/12/2016,09:30:01.000000,225.440000,300
23/12/2016,09:30:01.000000,225.440000,300
23/12/2016,09:30:01.000000,225.440000,1000
23/12/2016,09:30:01.000000,225.440000,1900
23/12/2016,09:30:01.000000,225.450000,200
23/12/2016,09:30:01.000000,225.440000,100
23/12/2016,09:30:01.000000,225.450000,100
